A,B,C,D,E,F,G,H,I,J,Response
-345.6946949,-0.229174576,-1.481269527,1.659987398,-1.172292078,-0.25653177,1.633161469,0.277218399,black,male,-1.878414
209.548322,1.886725491,0.213200473,-1.150972696,1.242473252,-0.717336718,1.794417581,-1.475029016,white,male,0.770834974
191.133034,-1.666422798,1.200565551,0.42794645,-0.314048653,0.633902858,-0.349396233,-0.625092981,white,male,0.958645093
-96.73413214,-0.380126659,-1.167656937,-0.834315888,0.484874866,0.06183496,0.67487301,0.208940201,white,male,-0.738064
338.0203491,-1.22280991,0.540494691,0.021874777,-1.038013597,0.988782494,0.643260505,-2.135315489,white,female,0.937555425
106.7898225,0.026395424,0.832675652,-1.373807738,-1.276907083,1.805832528,1.396431484,-0.33651692,white,male,-0.223149845
-269.0697997,0.360499075,-3.048389819,-0.944831397,-0.562349983,-0.111675112,0.374216872,-1.341835761,black,male,-0.596056508
-227.2972491,0.098829358,-0.981493176,-1.038461004,-0.564536219,-0.195412708,-0.267910176,0.092501087,black,female,-0.214827885
-126.2630548,-0.646908782,-2.355242905,0.246826754,-1.947041289,-0.967203855,1.009400207,-0.720328889,black,male,0.548867134
15.91937695,0.623699451,0.07849364,-0.427360523,0.601757014,0.664206941,1.301702021,2.117979186,white,male,-0.819434803
-24.37916559,0.389465642,-0.737259341,0.042412823,1.193460166,1.767022611,-0.536234824,-0.527514766,white,male,-1.306001864
39.4744449,-0.932894457,2.320131087,0.237485876,1.086935605,-1.240057268,0.050395225,-1.04555271,white,female,-1.069805161
-303.0560629,1.364205874,-1.591503094,0.758009874,0.683134619,0.755761323,0.639668762,-0.365415618,black,male,-0.177384026
-146.6144553,1.127122077,-0.018597792,1.677298139,-0.229733634,-0.387925951,0.947684437,-0.720240141,black,male,-1.928459643
-16.90090977,-0.600110504,0.995145027,-0.07080333,0.22602452,-0.19351344,0.649206074,0.244001585,black,female,-0.577235561
-137.3742151,0.888701338,-0.667254765,-0.05291465,0.037589068,1.211297936,0.427924618,-2.204473963,black,female,-0.860725374
80.46948308,-0.821929116,0.89977456,-0.945011071,1.380537981,0.517201823,-1.677143834,0.796840917,black,male,1.932841441
-80.57432297,0.912680549,-0.607610669,-0.68001632,-1.247584584,1.890355079,-0.334048172,-1.709247788,white,male,-2.343703528
97.27486967,-0.035647055,0.468965234,0.964310748,-0.65036228,-0.197035496,1.197248941,0.631679385,white,male,-0.620183597
-114.1863733,0.154881398,0.088224116,0.634641866,1.646294779,1.112149005,0.121934628,-0.893953958,black,male,-1.03364364
115.1908649,0.873568171,1.476380046,0.065150141,0.5913467,0.172648445,-0.442966902,1.360427695,white,female,0.061132862
-39.75561998,-0.303820006,1.097313903,0.003292706,-1.163367865,1.709723524,-0.011152181,1.102957377,black,male,-0.42245038
214.3348969,-1.463092446,1.43328493,2.039754543,1.106874928,-1.114256456,-1.929913683,1.905604549,white,male,1.586398891
26.13721457,-0.886281765,1.30292778,-0.676029761,0.189186199,-1.536589852,0.060404387,0.367575438,black,female,0.111305288
2.493089025,0.562908667,-1.354121893,-2.026751155,-1.170869047,-0.111522709,-1.991422033,-0.862687858,black,female,2.135399614
192.8287628,-0.763660651,2.134722241,-0.428600393,-0.237773651,-1.075432111,0.334941868,-0.584032232,black,male,0.779920894
-196.8190134,-0.168761364,-1.665457996,-2.156137478,0.17177008,0.058745222,0.512804698,1.504937612,black,female,-0.481552252
-251.1428213,1.240795152,-1.292097903,-1.118639548,0.06977422,-0.23159629,0.027275821,1.579978097,black,male,-0.150330769
134.0503933,0.840609149,-1.010478931,-1.79868252,1.200034839,0.711771718,0.797835895,-1.182013727,white,male,0.684929141
-95.79879902,1.213539475,0.401957789,-1.169860218,-0.666229868,0.277267474,-1.125656229,0.715141994,white,male,-2.17915907
-1.223666707,-1.142382403,-0.224730195,1.088152875,0.507625592,-1.268358716,-0.670521344,0.821521818,white,male,-0.138054801
-89.06518738,-0.5110408,-0.578456882,0.462053931,0.824405859,-1.796393238,-0.093555269,0.252706469,white,male,-1.311395072
-51.6760611,0.700839197,-0.545004964,-0.375461014,0.191369115,-0.891085772,-1.198576502,-0.085457095,white,female,0.099992409
83.93107426,-0.497121658,0.332034869,-1.417554529,0.402210866,0.843532336,1.607632095,1.609538234,black,female,0.727607735
94.94932048,-0.247439265,-0.218349519,0.564679586,-0.349278273,0.434807912,0.866051067,1.968167804,white,female,0.412109202
597.7479314,0.469791885,2.743739959,0.700438547,-1.699981241,-0.245803858,0.587816552,-1.487739896,white,male,1.940086508
-16.81646369,-0.501300629,0.121497248,-0.87570154,0.669051114,1.549965631,0.840085731,-0.916007098,black,female,-0.753603308
-291.386932,0.486085946,-1.964354199,0.536165127,-0.912249339,-1.065452929,-0.107207385,0.282681867,black,female,-0.841824441
78.5484909,-0.143109322,1.020255654,0.938269969,0.237430224,0.107632585,-1.034784389,0.230590169,black,female,0.517514536
34.14654777,0.418541587,-0.047309232,-1.022130863,0.351847273,-0.071051691,1.018617421,-0.307937734,white,male,-0.180611293
109.3226867,-0.816242796,-1.192594752,0.141297741,-0.753509521,0.67755719,1.179521181,0.630579786,white,female,-0.752094372
-64.74533546,0.331808623,1.578884629,0.11249093,-1.026588366,-0.415518471,0.435021451,-0.605834095,black,female,-1.885821612
107.7460188,1.21667832,1.100416076,-0.32988657,-1.091735357,0.387361416,-0.32961791,1.889942149,white,male,-0.781236441
61.71301103,0.733203845,-0.249296955,-0.214395106,0.147198919,-1.148150992,-0.828095726,1.078102716,white,male,0.998820169
-74.18662184,0.913916229,0.452342911,-0.219074128,-0.976421116,1.869437204,-0.334928935,0.058176237,black,male,-0.900909597
93.20192825,1.159605206,-0.689932161,-0.689475915,-1.211428411,-1.33993444,0.437944718,-0.904024775,white,female,1.301480131
-67.99146204,1.02880824,-0.778311343,-1.407429796,-0.96646015,-1.452840508,0.159866362,1.012409434,black,female,0.812441642
176.370425,-1.2046278,0.925626109,0.339425204,1.062835305,1.22028423,-0.03798577,-0.029290653,black,female,1.572891897
-196.6640035,1.52889389,-0.535515408,1.161252538,0.793553627,-0.981021589,-0.338061135,1.951592393,black,male,-0.525563203
-132.7102687,2.166117952,-0.040021753,-0.300248914,-0.353579284,-0.587152664,-0.587168628,-0.166647218,white,male,-1.497898377
-21.10169173,-0.907065844,-0.439615728,-0.170933528,-1.061301384,-0.409801047,-1.83836581,-1.568647631,white,male,0.018943297
111.0359278,0.866526751,-0.024985621,1.158727921,-0.149689819,-0.592068623,0.041164868,-0.497631771,white,female,0.977100544
108.670216,0.963522774,-0.746398917,-0.643772728,-0.302642046,-0.05051584,-0.383935508,1.493901098,white,male,0.588822474
159.5595187,1.502078441,1.440745772,0.391641585,0.869376476,0.73382833,-0.769055822,-0.722283659,black,male,1.381145666
420.1935944,2.917394102,0.673833787,-0.437654853,-1.250847563,0.537744555,-0.069174006,-0.496839214,white,male,2.211748811
-14.28260198,-0.264176016,1.665374258,0.642738387,-0.09576814,0.171038847,0.749931864,0.743235674,black,female,-0.064155376
131.4566532,0.675981406,1.115901458,0.438329288,1.912141958,-1.503046462,-2.526405342,2.371717372,white,female,0.549683065
-223.6820761,-0.682550194,-0.530581581,1.240805738,-0.475559574,-0.752593221,0.317631109,0.404591418,black,female,-0.746484665
-108.9120865,0.643750687,-1.915798026,-0.686619213,-0.670975609,-0.215045042,-0.718535884,1.466568953,white,male,-0.539761669
-416.9618129,-0.17175734,-1.72854603,0.45468848,0.100184034,-1.557560077,1.585090103,-0.356633676,black,female,-1.689877599
-173.6124539,-0.850171373,-0.084886666,0.108532693,1.051585049,-0.761728431,1.08220454,-0.505316837,white,male,-2.516883602
-84.57086476,0.503491212,0.378051411,-1.37438808,0.383309623,2.07367274,-0.882729662,0.259632741,white,male,-1.787821638
-110.9361337,2.052115833,-0.59204051,-0.401075685,-0.756187087,0.426193773,1.123183599,0.288738103,black,female,0.468359539
